subject,session,ntrl,morph,pos,ecc,rt,response,response_bin
s01,1,1,50,7,7,0.76806,LeftArrow,1
s01,1,2,33,3,7,0.73465,RightArrow,0
s01,1,3,17,3,7,0.81813,RightArrow,0
s01,1,4,50,0,7,1.0686,LeftArrow,1
s01,1,5,17,4,7,0.8682,RightArrow,0
s01,1,6,100,5,7,0.83479,LeftArrow,1
s01,1,7,50,7,7,1.102,LeftArrow,1
s01,1,8,67,7,7,1.0184,LeftArrow,1
s01,1,9,17,5,7,0.75132,RightArrow,0
s01,1,10,100,5,7,1.1354,LeftArrow,1
s01,1,11,50,6,7,1.0685,RightArrow,0
s01,1,12,83,0,7,0.95165,LeftArrow,1
s01,1,13,100,1,7,0.96832,LeftArrow,1
s01,1,14,0,4,7,1.0853,RightArrow,0
s01,1,15,100,7,7,0.91832,LeftArrow,1
s01,1,16,67,4,7,0.95173,LeftArrow,1
s01,1,17,17,2,7,0.85152,RightArrow,0
s01,1,18,33,3,7,1.1688,RightArrow,0
s01,1,19,0,0,7,0.8014,RightArrow,0
s01,1,20,33,4,7,0.95172,RightArrow,0
s01,1,21,50,4,7,1.0185,RightArrow,0
s01,1,22,67,6,7,0.8014,LeftArrow,1
s01,1,23,0,5,7,1.4526,LeftArrow,1
s01,1,24,50,5,7,2.0203,RightArrow,0
s01,1,25,33,1,7,0.91832,RightArrow,0
s01,1,26,67,7,7,0.88492,LeftArrow,1
s01,1,27,83,1,7,1.0185,LeftArrow,1
s01,1,28,83,7,7,0.93503,LeftArrow,1
s01,1,29,83,2,7,0.98504,RightArrow,0
s01,1,30,100,3,7,0.98513,LeftArrow,1
s01,1,31,17,4,7,1.0185,RightArrow,0
s01,1,32,83,3,7,0.96837,LeftArrow,1
s01,1,33,83,1,7,1.1855,LeftArrow,1
s01,1,34,67,6,7,0.98513,LeftArrow,1
s01,1,35,100,4,7,1.0686,RightArrow,0
s01,1,36,83,6,7,0.85173,RightArrow,0
s01,1,37,83,4,7,0.81817,LeftArrow,1
s01,1,38,50,3,7,0.95166,LeftArrow,1
s01,1,39,100,3,7,0.76805,LeftArrow,1
s01,1,40,83,7,7,0.78467,LeftArrow,1
s01,1,41,17,5,7,0.7013,RightArrow,0
s01,1,42,33,2,7,0.90163,RightArrow,0
s01,1,43,0,2,7,0.88492,RightArrow,0
s01,1,44,100,2,7,1.2856,LeftArrow,1
s01,1,45,50,1,7,0.76809,LeftArrow,1
s01,1,46,83,5,7,0.91832,LeftArrow,1
s01,1,47,83,4,7,1.4025,LeftArrow,1
s01,1,48,33,6,7,0.80146,RightArrow,0
s01,1,49,0,1,7,0.70125,RightArrow,0
s01,1,50,67,0,7,0.76802,LeftArrow,1
s01,1,51,67,5,7,0.75135,LeftArrow,1
s01,1,52,67,1,7,0.98507,RightArrow,0
s01,1,53,83,2,7,0.71794,LeftArrow,1
s01,1,54,33,1,7,1.2022,RightArrow,0
s01,1,55,100,6,7,1.3023,LeftArrow,1
s01,1,56,67,0,7,0.78484,LeftArrow,1
s01,1,57,33,5,7,0.78478,RightArrow,0
s01,1,58,0,5,7,0.68462,RightArrow,0
s01,1,59,17,0,7,0.80142,RightArrow,0
s01,1,60,33,6,7,1.1187,RightArrow,0
s01,1,61,83,6,7,0.85154,LeftArrow,1
s01,1,62,0,7,7,0.86827,RightArrow,0
s01,1,63,17,7,7,0.68454,RightArrow,0
s01,1,64,100,4,7,0.83485,LeftArrow,1
s01,1,65,67,3,7,0.75137,LeftArrow,1
s01,1,66,0,6,7,0.76806,RightArrow,0
s01,1,67,83,3,7,0.78474,LeftArrow,1
s01,1,68,100,2,7,0.9016,LeftArrow,1
s01,1,69,50,1,7,0.81815,LeftArrow,1
s01,1,70,67,3,7,0.85154,LeftArrow,1
s01,1,71,0,3,7,0.83484,RightArrow,0
s01,1,72,0,2,7,0.73465,RightArrow,0
s01,1,73,33,7,7,0.8014,LeftArrow,1
s01,1,74,67,5,7,0.85159,LeftArrow,1
s01,1,75,33,5,7,0.70124,RightArrow,0
s01,1,76,83,5,7,0.93502,LeftArrow,1
s01,1,77,33,7,7,1.0686,LeftArrow,1
s01,1,78,17,1,7,0.61782,RightArrow,0
s01,1,79,67,1,7,0.88492,LeftArrow,1
s01,1,80,33,4,7,1.0686,LeftArrow,1
s01,1,81,33,0,7,1.5194,LeftArrow,1
s01,1,82,67,2,7,1.2356,RightArrow,0
s01,1,83,0,6,7,0.61781,RightArrow,0
s01,1,84,50,3,7,0.7848,LeftArrow,1
s01,1,85,100,1,7,0.7013,LeftArrow,1
s01,1,86,100,7,7,0.93498,LeftArrow,1
s01,1,87,33,2,7,0.96845,LeftArrow,1
s01,1,88,67,2,7,0.61779,RightArrow,0
s01,1,89,17,2,7,0.88495,RightArrow,0
s01,1,90,50,4,7,0.81817,RightArrow,0
s01,1,91,50,2,7,0.85153,LeftArrow,1
s01,1,92,0,3,7,1.0353,RightArrow,0
s01,1,93,50,0,7,0.81818,LeftArrow,1
s01,1,94,0,7,7,0.78478,RightArrow,0
s01,1,95,33,0,7,0.80142,RightArrow,0
s01,1,96,83,0,7,0.85155,LeftArrow,1
s01,1,97,50,2,7,1.1354,LeftArrow,1
s01,1,98,0,0,7,0.65115,RightArrow,0
s01,1,99,100,0,7,1.0018,RightArrow,0
s01,1,100,0,1,7,0.83486,RightArrow,0
s01,1,101,67,4,7,0.75135,LeftArrow,1
s01,1,102,17,6,7,1.2355,LeftArrow,1
s01,1,103,17,6,7,0.81814,RightArrow,0
s01,1,104,17,1,7,1.1521,RightArrow,0
s01,1,105,50,6,7,1.5361,LeftArrow,1
s01,1,106,17,0,7,0.76809,RightArrow,0
s01,1,107,100,0,7,1.4025,RightArrow,0
s01,1,108,100,6,7,1.9201,LeftArrow,1
s01,1,109,17,3,7,0.88492,RightArrow,0
s01,1,110,17,7,7,0.75137,RightArrow,0
s01,1,111,0,4,7,0.78476,RightArrow,0
