subject,session,morph_type,morph,pos,ecc,rt,response_identity,third_option
s01,1,ab,33,5,7,1.2355,c,1
s01,1,ac,50,5,7,1.0853,c,0
s01,1,bc,33,7,7,1.0852,b,0
s01,1,ac,17,7,7,1.319,c,0
s01,1,ac,17,5,7,1.6195,c,0
s01,1,bc,17,3,7,2.1038,b,0
s01,1,ab,17,5,7,1.5695,c,1
s01,1,ac,100,7,7,2.254,c,0
s01,1,ab,50,5,7,1.1688,c,1
s01,1,bc,100,1,7,1.8032,b,0
s01,1,ab,33,1,7,1.87,a,0
s01,1,bc,67,7,7,2.304,b,0
s01,1,bc,17,7,7,0.93494,b,0
s01,1,ac,33,7,7,1.2689,b,1
s01,1,bc,100,3,7,1.7031,c,0
s01,1,ab,83,7,7,1.152,b,0
s01,1,ab,100,7,7,1.0352,b,0
s01,1,ab,83,5,7,0.85152,b,0
s01,1,ab,0,5,7,1.1688,a,0
s01,1,ac,67,1,7,1.7698,a,0
s01,1,ac,83,1,7,1.436,a,0
s01,1,ab,83,1,7,0.6178,b,0
s01,1,bc,33,1,7,0.70126,b,0
s01,1,ab,0,1,7,1.1687,b,0
s01,1,bc,17,5,7,1.0853,c,0
s01,1,bc,33,3,7,1.0018,b,0
s01,1,bc,83,5,7,1.4525,c,0
s01,1,ab,67,1,7,3.7066,a,0
s01,1,ac,83,5,7,2.1705,c,0
s01,1,ab,83,3,7,0.86821,b,0
s01,1,ac,0,3,7,1.3357,c,0
s01,1,ac,67,5,7,0.88492,c,0
s01,1,ac,50,7,7,1.486,b,1
s01,1,bc,67,1,7,1.87,a,1
s01,1,bc,0,5,7,0.80146,b,0
s01,1,bc,67,5,7,1.653,a,1
s01,1,ac,17,1,7,1.319,a,0
s01,1,bc,83,3,7,0.88501,b,0
s01,1,ab,50,7,7,1.6863,c,1
s01,1,bc,17,1,7,0.95167,b,0
s01,1,bc,83,7,7,0.95177,c,0
s01,1,bc,33,5,7,0.75128,b,0
s01,1,ab,67,5,7,0.71802,b,0
s01,1,ab,17,7,7,2.7215,c,1
s01,1,ac,100,5,7,1.0018,b,1
s01,1,ac,50,3,7,1.8199,a,0
s01,1,bc,50,7,7,1.9702,c,0
s01,1,bc,50,5,7,0.71794,b,0
s01,1,bc,0,7,7,0.66782,b,0
s01,1,ac,67,7,7,1.1354,b,1
s01,1,ac,33,1,7,2.1204,c,0
s01,1,ab,17,1,7,0.85147,a,0
