subject,session,morph_type,pos_num,pse
s01,1,ac,45,60.740652484663954
s02,1,ac,45,116.1597767978241
s03,1,ac,45,50.32652034634602
s04,1,ac,45,90.24847380497165
s05,1,ac,45,76.73672483413606
s06,1,ac,45,58.63312177058013
s07,1,ac,45,86.19409970500483
s08,1,ac,45,52.17107162864408
s09,1,ac,45,62.066496238626655
s10,1,ac,45,69.65394797623003
s01,1,ac,135,36.27037743018151
s02,1,ac,135,93.6316658134441
s03,1,ac,135,66.18585790902185
s04,1,ac,135,29.258487927339065
s05,1,ac,135,56.704149696129406
s06,1,ac,135,64.01077974378703
s07,1,ac,135,88.97345969426378
s08,1,ac,135,39.28756508937657
s09,1,ac,135,63.57690127794737
s10,1,ac,135,76.34219076930697
s01,1,ac,225,32.10778257793654
s02,1,ac,225,52.74765253472056
s03,1,ac,225,46.84055189179049
s04,1,ac,225,-3.1658424994678427
s05,1,ac,225,19.1358728856562
s06,1,ac,225,31.863247491629735
s07,1,ac,225,44.729186794555545
s08,1,ac,225,34.64955452690666
s09,1,ac,225,55.96302457729429
s10,1,ac,225,41.72674972040224
s01,1,ac,315,27.392407341785557
s02,1,ac,315,7.265125686262756
s03,1,ac,315,37.78963013126051
s04,1,ac,315,35.9328995343176
s05,1,ac,315,40.045355961736064
s06,1,ac,315,41.80311223264391
s07,1,ac,315,29.690476997231922
s08,1,ac,315,30.049664542874304
s09,1,ac,315,20.40342649882706
s10,1,ac,315,36.14918423519801
s01,1,ab,45,55.84688681593743
s02,1,ab,45,52.02572010744988
s03,1,ab,45,51.71892324277643
s04,1,ab,45,70.22824888315864
s05,1,ab,45,60.58974744547078
s06,1,ab,45,53.55713947176032
s07,1,ab,45,75.6321811642717
s08,1,ab,45,48.08749900593406
s09,1,ab,45,68.76708593651422
s10,1,ab,45,55.23073042204718
s01,1,ab,135,51.56399034924831
s02,1,ab,135,45.08423581166321
s03,1,ab,135,49.61875651716377
s04,1,ab,135,55.02428067273911
s05,1,ab,135,51.03978200685648
s06,1,ab,135,56.48909968060961
s07,1,ab,135,50.70785155372292
s08,1,ab,135,45.0265692812668
s09,1,ab,135,54.356028220777205
s10,1,ab,135,54.50143533445149
s01,1,ab,225,51.21037512774644
s02,1,ab,225,41.13348753642293
s03,1,ab,225,43.36398317882565
s04,1,ab,225,68.93477158809962
s05,1,ab,225,52.9305781144763
s06,1,ab,225,48.05115775102888
s07,1,ab,225,50.23261884517548
s08,1,ab,225,44.04180203404129
s09,1,ab,225,45.95552977274794
s10,1,ab,225,48.742198069858
s01,1,ab,315,61.53169936472437
s02,1,ab,315,44.383046503985845
s03,1,ab,315,48.96295819633408
s04,1,ab,315,88.12140401551375
s05,1,ab,315,62.88815903552703
s06,1,ab,315,57.41787793156936
s07,1,ab,315,53.13627155721492
