,roi,ratio,n_voxels,gain,rf_increase,value,b_units
0,IOG,1,2,1.0,0.0,0.29859063240176714,1
1,IOG,1,2,1.0,0.0,0.7401787373158066,1
2,IOG,1,2,1.0,0.0,0.2968150081378834,1
3,IOG,1,2,1.0,0.0,0.3029617665377085,1
4,IOG,1,2,1.0,0.0,0.3858884855200079,1
5,IOG,1,2,1.0,0.0,1.9067518788592481,1
6,IOG,1,2,1.0,0.0,0.35370646626667696,1
7,IOG,1,2,1.0,0.0,0.8129072976570576,1
8,IOG,1,2,1.0,0.0,0.8816290743919188,1
9,IOG,1,2,1.0,0.0,0.20312038335276994,1
10,IOG,1,2,1.0,0.0,0.34930190820047147,1
11,IOG,1,2,1.0,0.0,967.2975696943257,1
12,IOG,1,2,1.0,0.0,16.827813738220435,1
13,IOG,1,2,1.0,0.0,1.3801326906342424,1
14,IOG,1,2,1.0,0.0,0.4668136194116245,1
15,IOG,1,2,1.0,0.0,0.15047846697398304,1
16,IOG,1,2,1.0,0.0,0.8844987857592296,1
17,IOG,1,2,1.0,0.0,4.627512721581306,1
18,IOG,1,2,1.0,0.0,0.7827495803851601,1
19,IOG,1,2,1.0,0.0,9.215773523482255,1
20,IOG,1,2,1.0,0.0,6.805023147672548,1
21,IOG,1,2,1.0,0.0,0.8619822426468942,1
22,IOG,1,2,1.0,0.0,4.870248414658955,1
23,IOG,1,2,1.0,0.0,2.465805470515736,1
24,IOG,1,2,1.0,0.0,0.7126049508428562,1
25,IOG,1,2,1.0,0.0,0.5374492900304073,1
26,IOG,1,2,1.0,0.0,0.936535996919094,1
27,IOG,1,2,1.0,0.0,4.436020540857875,1
28,IOG,1,2,1.0,0.0,0.11861434514468308,1
29,IOG,1,2,1.0,0.0,6.3038345481785525,1
30,IOG,1,2,1.0,0.0,0.13190062808971012,1
31,IOG,1,2,1.0,0.0,0.13242516028164597,1
32,IOG,1,2,1.0,0.0,2.109280090404832,1
33,IOG,1,2,1.0,0.0,1.4354043278519655,1
34,IOG,1,2,1.0,0.0,8.575712161990712,1
35,IOG,1,2,1.0,0.0,2.645228261925286,1
36,IOG,1,2,1.0,0.0,1.2627872850506627,1
37,IOG,1,2,1.0,0.0,5.668075660442085,1
38,IOG,1,2,1.0,0.0,0.47595585818168984,1
39,IOG,1,2,1.0,0.0,31.19111228515282,1
40,IOG,1,2,1.0,0.0,5.945067923909527,1
41,IOG,1,2,1.0,0.0,0.147826475777845,1
42,IOG,1,2,1.0,0.0,5.005776380999538,1
43,IOG,1,2,1.0,0.0,1.2522091862899853,1
44,IOG,1,2,1.0,0.0,2.8833887622465717,1
45,IOG,1,2,1.0,0.0,0.3308531197123207,1
46,IOG,1,2,1.0,0.0,2.058633362011983,1
47,IOG,1,2,1.0,0.0,0.5879116256884647,1
48,IOG,1,2,1.0,0.0,1.3691774255211415,1
49,IOG,1,2,1.0,0.0,0.6515632930834153,1
50,IOG,1,2,1.0,0.0,0.7056232335114502,1
51,IOG,1,2,1.0,0.0,0.9036811175817201,1
52,IOG,1,2,1.0,0.0,10.68476834787513,1
53,IOG,1,2,1.0,0.0,7.8304311755270515,1
54,IOG,1,2,1.0,0.0,3.51221479053333,1
55,IOG,1,2,1.0,0.0,20.067049297463647,1
56,IOG,1,2,1.0,0.0,218.23077836294328,1
57,IOG,1,2,1.0,0.0,0.5420695303236938,1
58,IOG,1,2,1.0,0.0,1.1709255352272938,1
59,IOG,1,2,1.0,0.0,0.013165316229384955,1
60,IOG,1,2,1.0,0.0,1.6800840298928403,1
61,IOG,1,2,1.0,0.0,1.2135871644856009,1
62,IOG,1,2,1.0,0.0,0.21721192320196153,1
63,IOG,1,2,1.0,0.0,0.5132233875833943,1
64,IOG,1,2,1.0,0.0,1.1825802541977892,1
65,IOG,1,2,1.0,0.0,0.20341594822691267,1
66,IOG,1,2,1.0,0.0,0.686328439246962,1
67,IOG,1,2,1.0,0.0,1.0091581704061272,1
68,IOG,1,2,1.0,0.0,5.93905010844454,1
69,IOG,1,2,1.0,0.0,70.01626187139654,1
70,IOG,1,2,1.0,0.0,2.125812943182034,1
71,IOG,1,2,1.0,0.0,0.6500424426228614,1
72,IOG,1,2,1.0,0.0,0.5639297125820926,1
73,IOG,1,2,1.0,0.0,0.40192286138346556,1
74,IOG,1,2,1.0,0.0,0.9288048646963086,1
75,IOG,1,2,1.0,0.0,0.655796413095788,1
76,IOG,1,2,1.0,0.0,1.2812571744319545,1
77,IOG,1,2,1.0,0.0,18.39367882142722,1
78,IOG,1,2,1.0,0.0,1.0755470003523255,1
79,IOG,1,2,1.0,0.0,0.0883930422991081,1
80,IOG,1,2,1.0,0.0,0.054116293160107964,1
81,IOG,1,2,1.0,0.0,0.2155074374595376,1
82,IOG,1,2,1.0,0.0,0.9363711925687689,1
83,IOG,1,2,1.0,0.0,1.8278949888671416,1
84,IOG,1,2,1.0,0.0,15.965673501550562,1
85,IOG,1,2,1.0,0.0,0.39547190134010296,1
86,IOG,1,2,1.0,0.0,0.0847692537809843,1
87,IOG,1,2,1.0,0.0,1.0928766696680172,1
88,IOG,1,2,1.0,0.0,1.9710671827832356,1
89,IOG,1,2,1.0,0.0,55.42363007138159,1
90,IOG,1,2,1.0,0.0,0.6698751884537223,1
91,IOG,1,2,1.0,0.0,6.852737048524435,1
92,IOG,1,2,1.0,0.0,1.9208380603076236,1
93,IOG,1,2,1.0,0.0,4.7682760822856505,1
94,IOG,1,2,1.0,0.0,1.5768595742966596,1
95,IOG,1,2,1.0,0.0,1.4863608758656708,1
96,IOG,1,2,1.0,0.0,1.4203743248170486,1
97,IOG,1,2,1.0,0.0,0.07041444935126762,1
98,IOG,1,2,1.0,0.0,0.1953131551324182,1
99,IOG,1,2,1.0,0.0,1.0085894492908123,1
100,IOG,1,2,1.0,0.0,8.929457364410819,1
101,IOG,1,2,1.0,0.0,3.6768212222891816,1
102,IOG,1,2,1.0,0.0,5.665062830280977,1
103,IOG,1,2,1.0,0.0,7.842830532692777,1
104,IOG,1,2,1.0,0.0,1.2306815784643492,1
105,IOG,1,2,1.0,0.0,0.13242970398566473,1
106,IOG,1,2,1.0,0.0,0.656410194881141,1
107,IOG,1,2,1.0,0.0,0.8223617693528147,1
108,IOG,1,2,1.0,0.0,0.13144815329303738,1
109,IOG,1,2,1.0,0.0,0.1703656361639302,1
110,IOG,1,2,1.0,0.0,0.4970350300005912,1
111,IOG,1,2,1.0,0.0,244.6240409023638,1
112,IOG,1,2,1.0,0.0,0.8377989640372965,1
113,IOG,1,2,1.0,0.0,6.907878321836409,1
114,IOG,1,2,1.0,0.0,1.2952312242979005,1
115,IOG,1,2,1.0,0.0,0.5832498695602693,1
116,IOG,1,2,1.0,0.0,5.083701644789864,1
117,IOG,1,2,1.0,0.0,1.093116868508001,1
118,IOG,1,2,1.0,0.0,0.030860399010604334,1
119,IOG,1,2,1.0,0.0,2.847848841670572,1
120,IOG,1,2,1.0,0.0,0.0,1
121,IOG,1,2,1.0,0.0,0.475801656340981,1
122,IOG,1,2,1.0,0.0,1.9012629805927552,1
123,IOG,1,2,1.0,0.0,3.4273450023712937,1
124,IOG,1,2,1.0,0.0,7.657795523375604,1
125,IOG,1,2,1.0,0.0,0.7381495549934689,1
126,IOG,1,2,1.0,0.0,58.1433928347571,1
127,IOG,1,2,1.0,0.0,1.5259328716887073,1
128,IOG,1,2,1.0,0.0,44.849991472150826,1
129,IOG,1,2,1.0,0.0,0.6849438089617933,1
130,IOG,1,2,1.0,0.0,0.19601510469527578,1
131,IOG,1,2,1.0,0.0,1.2069941312833594,1
132,IOG,1,2,1.0,0.0,207.86659282601326,1
133,IOG,1,2,1.0,0.0,33.30799235894891,1
134,IOG,1,2,1.0,0.0,7.1624999373356,1
135,IOG,1,2,1.0,0.0,1.38823264198112,1
136,IOG,1,2,1.0,0.0,0.10556345546115307,1
137,IOG,1,2,1.0,0.0,0.9253544023282889,1
138,IOG,1,2,1.0,0.0,13.36978099123408,1
139,IOG,1,2,1.0,0.0,1.1330669534411106,1
140,IOG,1,2,1.0,0.0,0.7981442507917522,1
141,IOG,1,2,1.0,0.0,1.353533979630832,1
142,IOG,1,2,1.0,0.0,0.6237126057100209,1
143,IOG,1,2,1.0,0.0,0.21137066407641644,1
144,IOG,1,2,1.0,0.0,0.09357779512153791,1
145,IOG,1,2,1.0,0.0,0.21231468514956037,1
146,IOG,1,2,1.0,0.0,1.0637339233459944,1
