,roi,ratio,n_voxels,gain,rf_increase,value,b_units
0,IOG,1,2,1.0,0.0,0.9972072700644952,1
1,IOG,1,2,1.0,0.0,0.8662081575390852,1
2,IOG,1,2,1.0,0.0,1.741811206376712,1
3,IOG,1,2,1.0,0.0,0.6726226036418147,1
4,IOG,1,2,1.0,0.0,0.26753259166285814,1
5,IOG,1,2,1.0,0.0,1.5925173256993532,1
6,IOG,1,2,1.0,0.0,0.44257446842505505,1
7,IOG,1,2,1.0,0.0,8.740652777716807,1
8,IOG,1,2,1.0,0.0,0.6562012676579796,1
9,IOG,1,2,1.0,0.0,0.37225967879668853,1
10,IOG,1,2,1.0,0.0,0.29481521887054246,1
11,IOG,1,2,1.0,0.0,3.1904249679981005,1
12,IOG,1,2,1.0,0.0,2.842036625712354,1
13,IOG,1,2,1.0,0.0,3.6843155733425275,1
14,IOG,1,2,1.0,0.0,0.39005817837646706,1
15,IOG,1,2,1.0,0.0,0.09325983991537173,1
16,IOG,1,2,1.0,0.0,10.904334617029264,1
17,IOG,1,2,1.0,0.0,22.265311966789483,1
18,IOG,1,2,1.0,0.0,1.3014329445492043,1
19,IOG,1,2,1.0,0.0,0.5342449598147804,1
20,IOG,1,2,1.0,0.0,19.630399126824965,1
21,IOG,1,2,1.0,0.0,1.2190732365631483,1
22,IOG,1,2,1.0,0.0,2.1745998606178096,1
23,IOG,1,2,1.0,0.0,1.7291488453355577,1
24,IOG,1,2,1.0,0.0,0.9745384980013134,1
25,IOG,1,2,1.0,0.0,0.9117961761820615,1
26,IOG,1,2,1.0,0.0,28.52236513982126,1
27,IOG,1,2,1.0,0.0,1.0001299531181702,1
28,IOG,1,2,1.0,0.0,0.848701763027163,1
29,IOG,1,2,1.0,0.0,2.508195455126094,1
30,IOG,1,2,1.0,0.0,0.16546670682832065,1
31,IOG,1,2,1.0,0.0,0.0550282831321153,1
32,IOG,1,2,1.0,0.0,0.6090462048728983,1
33,IOG,1,2,1.0,0.0,1.6311044392305767,1
34,IOG,1,2,1.0,0.0,0.21571217488978212,1
35,IOG,1,2,1.0,0.0,1.2373051585905834,1
36,IOG,1,2,1.0,0.0,113.46273796925365,1
37,IOG,1,2,1.0,0.0,1.6411260078989536,1
38,IOG,1,2,1.0,0.0,0.9665453441461904,1
39,IOG,1,2,1.0,0.0,12.697390602373359,1
40,IOG,1,2,1.0,0.0,1.026856719292449,1
41,IOG,1,2,1.0,0.0,142.10846654449477,1
42,IOG,1,2,1.0,0.0,1.262149663480396,1
43,IOG,1,2,1.0,0.0,8.368656995557403,1
44,IOG,1,2,1.0,0.0,0.32252105489853433,1
45,IOG,1,2,1.0,0.0,0.6466054242331738,1
46,IOG,1,2,1.0,0.0,12.168779323696501,1
47,IOG,1,2,1.0,0.0,0.16750784550154177,1
48,IOG,1,2,1.0,0.0,17.14673589470077,1
49,IOG,1,2,1.0,0.0,0.3076902986315442,1
