ratio,roi,gain,value,lo,hi
1,IOG,1,1.197482484859719,1.0749028139405146,1.3343319758246626
1,IOG,1.5,1.1293257618269386,0.9955772418427278,1.3667343177076372
1,IOG,2,1.0771011011290041,0.8733576224235864,1.2557000044610835
1,IOG,2.5,0.9581682586281948,0.8182901621354947,1.1681668136679142
1,IOG,3,0.9065651197783778,0.7706708621982932,1.0329263466439076
1,IOG,3.5,0.9160606416093044,0.7830301309272885,1.1380245497595733
1,IOG,4,0.917027756734268,0.7808666860888228,1.0136066714114378
1,mFus,1,0.33619620845354903,0.2999200409760101,0.41722174957281
1,mFus,1.5,0.24210407579165155,0.20668257571852347,0.2931779392480165
1,mFus,2,0.23763771660086336,0.20478526831643332,0.26998078805791814
1,mFus,2.5,0.21285021177843869,0.1846128738001587,0.25596320443117654
1,mFus,3,0.2203648220580504,0.19387333380826477,0.24867574436157097
1,mFus,3.5,0.18522360821972753,0.16167835308856193,0.21332512540781
1,mFus,4,0.19846184654227092,0.1731466038971596,0.22066349458542012
1,pFus,1,0.4451557545543845,0.39139070474570975,0.5128335448251651
1,pFus,1.5,0.4113966645475161,0.3746919513859381,0.46666726167524536
1,pFus,2,0.370311317704327,0.3290940754836649,0.4429194713041934
1,pFus,2.5,0.36430563202624966,0.33336970845858555,0.4150622621128749
1,pFus,3,0.3468730304806691,0.2987540893331521,0.4019497348437978
1,pFus,3.5,0.31923630999501396,0.2967963854002497,0.36511680161841775
1,pFus,4,0.3318301231504959,0.28373787992178934,0.3669958508370245
2,IOG,1,0.782891485848666,0.6481466390817447,0.9309455130079939
2,IOG,1.5,0.6765616636712801,0.59876802428139,0.7829972676474871
2,IOG,2,0.659748796054494,0.5671144759346642,0.7796813545139845
2,IOG,2.5,0.5748432790676704,0.5033365348387052,0.6622936334358092
2,IOG,3,0.5101847441250771,0.4455978399579795,0.6125311453486414
2,IOG,3.5,0.49403704470663,0.43576229898162344,0.5764012906371202
2,IOG,4,0.47495927856247194,0.4019631189994654,0.5479432407120357
2,mFus,1,0.2197813829666846,0.18927815232684708,0.2506943898648999
2,mFus,1.5,0.16619640345075365,0.14967339759589166,0.18208034958743113
2,mFus,2,0.15161985945651024,0.13419814104681457,0.17474075564354996
2,mFus,2.5,0.1370400854889571,0.12766810016999855,0.15263530312431553
2,mFus,3,0.13871380806504596,0.12322488720800577,0.15505709378552365
2,mFus,3.5,0.1440936618393106,0.12791403853009825,0.15298315771753224
2,mFus,4,0.12573019530114238,0.11377914651567207,0.1428250858830965
2,pFus,1,0.26019666946064507,0.21539878829005754,0.2891939503425714
2,pFus,1.5,0.211877349817288,0.1764553053059042,0.23754645917481038
2,pFus,2,0.19064055758657938,0.17058162246410755,0.22723320890024293
2,pFus,2.5,0.17014970930858775,0.15161349151110134,0.1938055244774975
2,pFus,3,0.1752939384889057,0.1491189436819402,0.19770308179859378
2,pFus,3.5,0.16997883130305239,0.15123071900301902,0.19092714785668752
2,pFus,4,0.16636522178223198,0.141514529251288,0.18344057468839742
3,IOG,1,0.5042733231449101,0.4064134841679716,0.6668616237611054
3,IOG,1.5,0.4393440130663354,0.3837050300683398,0.4897833913007763
3,IOG,2,0.4308191961943406,0.35814089858784093,0.4868987509522006
3,IOG,2.5,0.40987483340423325,0.3435409115182225,0.4624629119690236
3,IOG,3,0.36500761702763496,0.31983060998703966,0.4292734317630989
3,IOG,3.5,0.3293066010994169,0.29178221445420693,0.38296063552723847
3,IOG,4,0.3192210359432967,0.2897080594739221,0.36877580898696466
3,mFus,1,0.14961029533441705,0.13010369399384553,0.17420878998793876
3,mFus,1.5,0.1234425438970966,0.10912892706592253,0.1412353580656012
3,mFus,2,0.11501892762694732,0.09815059532606496,0.127625451327314
3,mFus,2.5,0.11061379518800962,0.09791531214233812,0.12251364794462781
3,mFus,3,0.10356653757235051,0.09084965019480373,0.11427495389728747
3,mFus,3.5,0.10066771608644401,0.09024381984589704,0.11052453213496646
3,mFus,4,0.1002342436186433,0.09154294925520892,0.11287310402669481
3,pFus,1,0.13611453452671174,0.11408430399422792,0.17143742185420052
3,pFus,1.5,0.10489552641645102,0.08863804529102198,0.1185004077209056
3,pFus,2,0.09635677890517858,0.08731567912767488,0.10824634356360809
3,pFus,2.5,0.10132384382630763,0.09017676449428075,0.11177246985914631
3,pFus,3,0.0930894965493825,0.08062757208446741,0.10926995417179586
3,pFus,3.5,0.09293447970181423,0.0835101325140339,0.10700494054685648
3,pFus,4,0.09240198716858211,0.08082758870057542,0.11124897447395884
4,IOG,1,0.4165288020249983,0.33972169239613315,0.5086881602356282
4,IOG,1.5,0.3871948257818615,0.32999236387071407,0.4318593005606532
4,IOG,2,0.3339862237417703,0.28846680686617565,0.37303350919664346
4,IOG,2.5,0.2883691313553521,0.2577434661432589,0.34722850434526265
4,IOG,3,0.288168427731607,0.2501387507922962,0.32871853800915346
