ratio,roi,gain,value,lo,hi
1,IOG,1,0.6346727409242473,0.5408671439751662,0.7098046106725987
1,IOG,1.5,0.590217447847877,0.5068045663792631,0.6849603184371325
1,IOG,2,0.5656954876761071,0.5139166874884503,0.6474996526366866
1,IOG,2.5,0.5474665204288303,0.4818534779158205,0.6386188757991571
1,IOG,3,0.515148069852696,0.4483203103210342,0.5761833974680235
1,IOG,3.5,0.5329033392871834,0.46461627427186936,0.5938238926959001
1,IOG,4,0.4974847155908888,0.44828939301460924,0.5516922019923001
1,mFus,1,0.137562116307625,0.1223265520716366,0.1607499857126419
1,mFus,1.5,0.12761157204774204,0.10438766788521464,0.1461362224576529
1,mFus,2,0.11721421913886612,0.10122776553407663,0.13925298820631232
1,mFus,2.5,0.11972305837097053,0.10515337990278203,0.140262158418347
1,mFus,3,0.1253400699571296,0.11046621629141821,0.14354786738618341
1,mFus,3.5,0.12208615297645783,0.10816156780590358,0.1486472029793638
1,mFus,4,0.12779051990565432,0.11528308065775911,0.14585360850023016
1,pFus,1,0.26553091168991805,0.23004168709394512,0.3080410173991737
1,pFus,1.5,0.24048629159989648,0.20549873648921343,0.2823178570701661
1,pFus,2,0.21982121858254383,0.18120633101575642,0.2508094114757203
1,pFus,2.5,0.21218197655507431,0.18558062366091294,0.2395730518023228
1,pFus,3,0.20660714928095839,0.1844999234750893,0.23405994231727834
1,pFus,3.5,0.20149531715733174,0.18565828468077156,0.2323890993346448
1,pFus,4,0.21093004503757617,0.18896876976035953,0.23459095239103495
2,IOG,1,0.347724365009145,0.2927270315102656,0.40728449457281624
2,IOG,1.5,0.3076324827936372,0.2821913069893367,0.3641094446053921
2,IOG,2,0.29413187388246065,0.25515022768018136,0.34382949366554727
2,IOG,2.5,0.28273111688004926,0.2507606534872762,0.32704599733633405
2,IOG,3,0.27513932425638166,0.2357090243003794,0.3106829083369149
2,IOG,3.5,0.28290354558238434,0.24763401029145038,0.3259223483911725
2,IOG,4,0.28242487048404463,0.2444621174032997,0.3185062162657462
2,mFus,1,0.08079356443104518,0.07127661315285298,0.09550036492351177
2,mFus,1.5,0.07362288660407308,0.06533183348346822,0.0838349076136512
2,mFus,2,0.07170750116096432,0.06375114059915254,0.0816268742691578
2,mFus,2.5,0.07372421681869798,0.06806560802592736,0.0811929948354168
2,mFus,3,0.0756604119637537,0.06892103157848284,0.08502215439660751
2,mFus,3.5,0.07933412538576787,0.07317759788697822,0.08669179636488517
2,mFus,4,0.08693051372449079,0.0798138186035485,0.0914582509262532
2,pFus,1,0.13155191213635387,0.11531888581340341,0.14813741779865225
2,pFus,1.5,0.12042034917481448,0.10867658544451161,0.13602878056205417
2,pFus,2,0.11151044248123246,0.09915383353128615,0.1223498059049942
2,pFus,2.5,0.12103477734592633,0.10938456261164271,0.13373284404045405
2,pFus,3,0.12056142564377577,0.11190982586706752,0.1301050343386253
2,pFus,3.5,0.12004798217453581,0.10996409234931259,0.12615033694645889
2,pFus,4,0.12640962062502864,0.11805270802121814,0.1361407139807072
3,IOG,1,0.20065579826727237,0.17067645456561967,0.23246114626191702
3,IOG,1.5,0.18005589523823,0.1613818269838071,0.20969338458103548
3,IOG,2,0.17989651670844947,0.1655246294848898,0.20506030172478484
3,IOG,2.5,0.17558933438045246,0.15862332252682354,0.1946791816008962
3,IOG,3,0.16614598745276027,0.15178880313600002,0.18741654203685032
3,IOG,3.5,0.17522274988481062,0.15886093555783629,0.19398490341842828
3,IOG,4,0.17417492958256575,0.16256418348220805,0.19419351524223022
3,mFus,1,0.055899491523846,0.0492832869358161,0.061783439136501576
3,mFus,1.5,0.052508868154864496,0.046244289019983315,0.06001252525872993
3,mFus,2,0.04931720772555844,0.043916523293414514,0.05540980604514337
3,mFus,2.5,0.054626967211338404,0.047425754821696406,0.05921689496327952
3,mFus,3,0.057070617969719045,0.05352198263711725,0.06308031991814578
3,mFus,3.5,0.0602454346962661,0.05492529677909789,0.06473580286953604
3,mFus,4,0.06288154322956131,0.05798879565985443,0.06956339774193226
3,pFus,1,0.09224676327170264,0.08406112050533328,0.10146032690071531
3,pFus,1.5,0.08012263950100894,0.07229262169488543,0.0923546025019644
3,pFus,2,0.07937754115388623,0.0697655018054947,0.08968569374243875
3,pFus,2.5,0.07936330132396754,0.0688564193532782,0.08800055205251311
3,pFus,3,0.08116624136824624,0.07529262737580567,0.08767179796797414
3,pFus,3.5,0.09163223454075495,0.07714263757163353,0.1006970104720484
3,pFus,4,0.09138073541184047,0.08322330174007134,0.0987385559372647
4,IOG,1,0.15448685795486167,0.13191911622168598,0.16893285314470846
