ratio,roi,rf_increase,value,lo,hi
1,IOG,0,1.2180964863623653,1.0699250549828092,1.3690816592859205
1,IOG,0.1,1.050902447313613,0.8841741096445391,1.1901222350775096
1,IOG,0.2,0.8633700012482777,0.7536625938746518,1.068549275008402
1,IOG,0.3,0.7002691565480784,0.5777777043285672,0.7746096019147728
1,IOG,0.4,0.5056074788973637,0.43282399211419487,0.6280249117148584
1,IOG,0.5,0.4523481786414366,0.36973077320903125,0.5027463325589276
1,mFus,0,0.31520041472251303,0.27381443350407675,0.3968044658502905
1,mFus,0.1,0.262393299937293,0.22053927859739775,0.3159414175779557
1,mFus,0.2,0.17006697323655273,0.1444872576959717,0.19533195425037253
1,mFus,0.3,0.13296422900082383,0.11483569665195688,0.15379444139859338
1,mFus,0.4,0.10451983759989528,0.0907917851406951,0.11816429551835833
1,mFus,0.5,0.0897355775256315,0.0774820454515039,0.10282600013863791
1,pFus,0,0.44909966841385646,0.39520614396426385,0.4860705417967948
1,pFus,0.1,0.3543271865179003,0.32591126584264835,0.39722208611931686
1,pFus,0.2,0.2713831560072204,0.24151238673618938,0.3141413581183369
1,pFus,0.3,0.22145204121321202,0.1909090034845387,0.24812688516571058
1,pFus,0.4,0.16925203759004742,0.14916744877322916,0.193783253287247
1,pFus,0.5,0.14026241631292302,0.1276096099853852,0.15867795044419994
2,IOG,0,0.7159436414072609,0.6319521024729671,0.920524525699105
2,IOG,0.1,0.5667168252589386,0.48995424701720675,0.7007515678746665
2,IOG,0.2,0.41030616121376434,0.3660126785326777,0.484591780181725
2,IOG,0.3,0.30686378316836704,0.2646274366403719,0.385861904672867
2,IOG,0.4,0.23701420663042802,0.20452815633335591,0.3041218866135271
2,IOG,0.5,0.19508391615546183,0.16553094097237686,0.23819868732408075
2,mFus,0,0.20272201246749283,0.18491779311872944,0.23128220758978893
2,mFus,0.1,0.1439701134394652,0.13141290517638604,0.16255054455726642
2,mFus,0.2,0.10788547661266057,0.09754792507688241,0.12268853120103515
2,mFus,0.3,0.08314419359758363,0.0738680930835333,0.0914991057104126
2,mFus,0.4,0.058769492794543646,0.05412252619861605,0.06469224379388355
2,mFus,0.5,0.04827563048236652,0.04402965761153083,0.05395616948800883
2,pFus,0,0.27259963577404955,0.22795522176208005,0.30689202355806927
2,pFus,0.1,0.18020646620492076,0.14940806788223138,0.21912888571297362
2,pFus,0.2,0.14413160003187514,0.12158361833684207,0.16366210354280758
2,pFus,0.3,0.10995099780041048,0.09239227607760124,0.13289038246373397
2,pFus,0.4,0.07369286489827026,0.0653500566252451,0.08541301814563361
2,pFus,0.5,0.06437114127880421,0.05702576729823923,0.07475729190446176
3,IOG,0,0.5293148533394012,0.4540704687594585,0.6194092995984629
3,IOG,0.1,0.37542628862514027,0.330181919332588,0.43843933811015606
3,IOG,0.2,0.28700101794070737,0.24443326193782755,0.3195161853053143
3,IOG,0.3,0.18436816951481919,0.1598134264000839,0.21451445818781145
3,IOG,0.4,0.14085303463825533,0.1159234452492477,0.1708029209077546
3,IOG,0.5,0.10649156493454336,0.09376593844081138,0.12320704223700764
3,mFus,0,0.14769179832189244,0.13139151771182242,0.1660480202119861
3,mFus,0.1,0.10950875725369968,0.09728363322500164,0.12297394976114263
3,mFus,0.2,0.06970950804508573,0.06355712763670937,0.0764186958003707
3,mFus,0.3,0.05396219986740981,0.04965414923311177,0.06077629560699832
3,mFus,0.4,0.04354708467834195,0.0387507981630785,0.04865940697605266
3,mFus,0.5,0.036547227565548915,0.031386614084275,0.039589651598665884
