ratio,roi,b_units,value,lo,hi
1,IOG,1,1.3425118797105204,1.0982222005162974,1.5614668181768316
1,IOG,2,0.5252453920825844,0.46219906762412233,0.6166290465092247
1,IOG,3,0.27711559310208556,0.2405379461221811,0.31931403926195884
1,IOG,4,0.1763647351523728,0.15059156655209485,0.20190643395950483
1,IOG,5,0.11717162157083205,0.10208966995288075,0.13280600936407078
1,mFus,1,0.3334194789874235,0.29274701838878214,0.38575478012800557
1,mFus,2,0.14064211045140784,0.11983920740444015,0.16221332583815679
1,mFus,3,0.08863068066963001,0.07852699738358479,0.10253290571601867
1,mFus,4,0.0659724599777568,0.057706968433540846,0.07258784640761133
1,mFus,5,0.04358769226801163,0.038913495934456796,0.04856555849369796
1,pFus,1,0.4529299376630778,0.40531524220294374,0.5262430351724557
1,pFus,2,0.16154944057075052,0.14653255565466008,0.18733163324166874
1,pFus,3,0.07155868073737728,0.05986553327329354,0.08215646141493152
1,pFus,4,0.045464179421558074,0.04002502509588132,0.051572323992511174
1,pFus,5,0.033138396990518945,0.028582626919255644,0.037691518230576045
2,IOG,1,0.7632923768598243,0.6841292505994243,0.9118301095974592
2,IOG,2,0.31363447225892005,0.26284578972598155,0.36260498971549593
2,IOG,3,0.1546244388741406,0.13060562300488043,0.18023217465645008
2,IOG,4,0.09390574838606888,0.08361011498774187,0.10649827457100995
2,IOG,5,0.0645341864059156,0.058594356776793616,0.07170051446177142
2,mFus,1,0.20610506447199556,0.17829956836283428,0.2445780729824952
2,mFus,2,0.0911369460967843,0.08027343376493339,0.10404060504043587
2,mFus,3,0.052923708573625716,0.04683965630838487,0.057889216824969524
2,mFus,4,0.03763738363369146,0.033738268840079993,0.041997806611128924
2,mFus,5,0.02879130908751184,0.025800117832975825,0.032852548240619596
2,pFus,1,0.2680353532217939,0.2364165324781403,0.3050300132667773
2,pFus,2,0.06930951925617668,0.06210509257145137,0.08169202095160667
2,pFus,3,0.042072066875928335,0.03762444641227714,0.046400245827423664
2,pFus,4,0.02363390855284934,0.021710445195890465,0.026803716231040206
2,pFus,5,0.01844585532422143,0.016031787718244667,0.020210003163357408
3,IOG,1,0.5765006407713544,0.5125486676788228,0.67068381295946
3,IOG,2,0.21190569370997359,0.1847118830159334,0.2355175445790177
3,IOG,3,0.09917584383372635,0.08302797773863023,0.11195011534494319
3,IOG,4,0.06172197201703268,0.05360390754717927,0.07175129593094574
3,IOG,5,0.03998172893870891,0.03675548116075089,0.045034943417889925
3,mFus,1,0.15132744982266513,0.13396769553172613,0.1658574489515943
3,mFus,2,0.06284153255828655,0.05477915666982368,0.07199803855335984
3,mFus,3,0.0373731894121528,0.0334516119519589,0.041091078324495406
3,mFus,4,0.027007446632514275,0.02483420214945188,0.030196694073378424
3,mFus,5,0.021322036498018244,0.019614126010618155,0.02327235525994916
3,pFus,1,0.12546061715148998,0.10834307338582001,0.15634874718117983
3,pFus,2,0.045229105959334215,0.04005024298111833,0.05063426979956349
3,pFus,3,0.026388577611600482,0.023053027196380374,0.028880405950214506
3,pFus,4,0.017391211067301654,0.016254697139974905,0.019086439691520515
3,pFus,5,0.014286758930478642,0.012983057210131311,0.015383885374871006
4,IOG,1,0.3807452754507503,0.32735427749331936,0.4466751600822778
4,IOG,2,0.1212980803592467,0.109817013087651,0.1376579819115427
4,IOG,3,0.05947990293599682,0.0528147878025632,0.07191021821871452
4,IOG,4,0.038425772376777856,0.034719467408386724,0.04248392193676001
4,IOG,5,0.0322410713555461,0.028750058771057248,0.035265713412254575
4,mFus,1,0.1172016379096737,0.10257448738280477,0.13694256557950926
4,mFus,2,0.04892191142796705,0.04407297832384893,0.054127735186024976
4,mFus,3,0.03251886073418965,0.029523319175916805,0.03549667398611512
