,roi,ratio,n_voxels,gain,rf_increase,value,b_units
0,IOG,1,2,1.0,0.0,0.25037861388181076,1
1,IOG,1,2,1.0,0.0,22.56048870535944,1
2,IOG,1,2,1.0,0.0,3.4043246646492333,1
3,IOG,1,2,1.0,0.0,0.4292896563844079,1
4,IOG,1,2,1.0,0.0,0.3009720779416303,1
5,IOG,1,2,1.0,0.0,1.1539981776708934,1
6,IOG,1,2,1.0,0.0,0.679578826582619,1
7,IOG,1,2,1.0,0.0,3.9771666277115196,1
8,IOG,1,2,1.0,0.0,0.8531893748891934,1
9,IOG,1,2,1.0,0.0,3.0952312062232736,1
10,IOG,1,2,1.0,0.0,0.3018288845622559,1
11,IOG,1,2,1.0,0.0,0.8048264401297092,1
12,IOG,1,2,1.0,0.0,6.332285395487456,1
13,IOG,1,2,1.0,0.0,10.998428332095681,1
14,IOG,1,2,1.0,0.0,0.3863072053373813,1
15,IOG,1,2,1.0,0.0,0.13457061505364232,1
16,IOG,1,2,1.0,0.0,0.3917923973083588,1
17,IOG,1,2,1.0,0.0,2.429452374937393,1
18,IOG,1,2,1.0,0.0,1.0092892191335352,1
19,IOG,1,2,1.0,0.0,228.54420070237384,1
20,IOG,1,2,1.0,0.0,2.045244359722742,1
21,IOG,1,2,1.0,0.0,0.8042584510124252,1
22,IOG,1,2,1.0,0.0,3.678604118629069,1
23,IOG,1,2,1.0,0.0,1.249923352242442,1
24,IOG,1,2,1.0,0.0,0.956019247208617,1
25,IOG,1,2,1.0,0.0,7.708904240632122,1
26,IOG,1,2,1.0,0.0,0.9264697892436751,1
27,IOG,1,2,1.0,0.0,1.4355152316185136,1
28,IOG,1,2,1.0,0.0,18.156913646206306,1
29,IOG,1,2,1.0,0.0,1.3557608129745427,1
30,IOG,1,2,1.0,0.0,0.09100119124702384,1
31,IOG,1,2,1.0,0.0,0.13139712892312494,1
32,IOG,1,2,1.0,0.0,0.8178586175193174,1
33,IOG,1,2,1.0,0.0,2.909239482790376,1
34,IOG,1,2,1.0,0.0,10.506145658483074,1
35,IOG,1,2,1.0,0.0,1.6347430001011916,1
36,IOG,1,2,1.0,0.0,31.411032729459606,1
37,IOG,1,2,1.0,0.0,2.4544376413600175,1
38,IOG,1,2,1.0,0.0,0.5829426432263374,1
39,IOG,1,2,1.0,0.0,4.661444881028073,1
40,IOG,1,2,1.0,0.0,6.779560626126914,1
41,IOG,1,2,1.0,0.0,68.51583743942803,1
42,IOG,1,2,1.0,0.0,1.0828746743272433,1
43,IOG,1,2,1.0,0.0,8.151417218667065,1
44,IOG,1,2,1.0,0.0,0.40463405700807725,1
45,IOG,1,2,1.0,0.0,1.0549028636074478,1
46,IOG,1,2,1.0,0.0,2.996919338612326,1
47,IOG,1,2,1.0,0.0,0.015597881123190058,1
