ratio,roi,b_units,value,lo,hi
1,IOG,1,0.6789514805726844,0.5762892171725531,0.7815455964361179
1,IOG,2,0.2152610946076203,0.20223312708633556,0.23937601126686947
1,IOG,3,0.11134171194895318,0.098809048836517,0.12289897573600772
1,IOG,4,0.07872764088051362,0.06830574216745827,0.08768632786161129
1,IOG,5,0.05197745683840918,0.047854620586162945,0.05906990630498725
1,mFus,1,0.13343440521039795,0.11637499169079023,0.1622327144986841
1,mFus,2,0.05492441298912101,0.04873186092279755,0.06466207701377567
1,mFus,3,0.03384154201627898,0.029957656656573402,0.03619461183046991
1,mFus,4,0.025634206622166245,0.023611610123388405,0.028991272209591076
1,mFus,5,0.0198951504542743,0.018025992980796123,0.02217863587434541
1,pFus,1,0.2832893322295895,0.2379294059930778,0.3098931892598174
1,pFus,2,0.09695831415667616,0.08526935459998769,0.10845975780331486
1,pFus,3,0.05104140696554173,0.046117265751408495,0.05815588908863101
1,pFus,4,0.03262064718284879,0.029647431064393916,0.03588631418282368
1,pFus,5,0.0257580648183112,0.02351866966663278,0.027832958243969003
2,IOG,1,0.3214207955477598,0.280553081791444,0.3834528495285474
2,IOG,2,0.10778734071543146,0.09128408505231796,0.11930147747230843
2,IOG,3,0.058243163776304646,0.05147585091717488,0.0655044511057791
2,IOG,4,0.03593530037536048,0.03145449104958346,0.038303794543576145
2,IOG,5,0.029764136808293918,0.027360568585059253,0.0321332665645743
2,mFus,1,0.08025420117485466,0.07055757571011241,0.09167586948084379
2,mFus,2,0.032527958418535306,0.029162230762725946,0.03808267821713852
2,mFus,3,0.023222723100262813,0.021199949030411086,0.025579129707320587
2,mFus,4,0.017335046189660232,0.015490272480582356,0.019059470664014456
2,mFus,5,0.014389417971731093,0.012887354461857063,0.01596166538188589
2,pFus,1,0.1377809670700037,0.12021197426206252,0.16613877809127475
2,pFus,2,0.051179645066750684,0.04568687467880749,0.0564529717804343
2,pFus,3,0.028988028792727646,0.026353811866240195,0.03242963246748165
2,pFus,4,0.021652596753928062,0.020309378881591327,0.023333744622237536
2,pFus,5,0.01537977417383558,0.014231824531852023,0.016763995074794504
3,IOG,1,0.20031379566023477,0.17037247133733255,0.22713661959745746
3,IOG,2,0.06936608856000984,0.05977580068388091,0.07748103632185695
3,IOG,3,0.03764257099634396,0.033311608579296555,0.0421220585204597
3,IOG,4,0.028293944897616233,0.025653357784465022,0.03150428176562632
3,IOG,5,0.02050396500570726,0.018603479069001456,0.022549545136005177
3,mFus,1,0.05497271996116127,0.04814091115668931,0.06429147770375138
3,mFus,2,0.02733847013377818,0.023736410424879482,0.03122360937611813
3,mFus,3,0.018776476995640348,0.01705056846353845,0.021034945386150087
3,mFus,4,0.012771393965037845,0.01191411321854516,0.01409212447812692
3,mFus,5,0.010154090506578548,0.00936861620968459,0.01180997252157518
3,pFus,1,0.09081405470784573,0.08124208623464496,0.10106255417632953
3,pFus,2,0.03460602977762584,0.03018029922226958,0.03775392222711227
3,pFus,3,0.019864283599987105,0.018455100038716383,0.023184513020408193
3,pFus,4,0.01439593707993741,0.013134592394785045,0.01624684368887067
3,pFus,5,0.012433605703266586,0.011618755594179126,0.013385153587176967
4,IOG,1,0.1503107677472958,0.12982927141993963,0.17436068842749541
4,IOG,2,0.04612781776316746,0.04113805448666956,0.050165768090651895
4,IOG,3,0.03253714192532728,0.028032104277330924,0.035790767852511035
4,IOG,4,0.023969447163261895,0.022247032543879237,0.02597941989549081
4,IOG,5,0.017939035603275505,0.01637385056769409,0.01971271854678891
4,mFus,1,0.04724453687841276,0.04201825272247219,0.05008334694237737
4,mFus,2,0.021009101857137495,0.01899509378166712,0.023372740503022623
4,mFus,3,0.014250272235508305,0.013014787113379144,0.015510930333815592
4,mFus,4,0.01071714710063128,0.009899228580687296,0.01192255325891411
4,mFus,5,0.008290247350440127,0.007570003158542615,0.009213392538049432
4,pFus,1,0.06542320001457563,0.058714582754944844,0.07534561994469405
4,pFus,2,0.02555887557707625,0.0215172947094764,0.02856643775710404
4,pFus,3,0.015397263466258169,0.013089610686824562,0.01674327478638276
4,pFus,4,0.010791843033938152,0.009936112553665936,0.011986029390643976
4,pFus,5,0.00793435451309193,0.007270189109943585,0.008639466262030493
5,IOG,1,0.10711911942107155,0.09534561001425396,0.11975678463263176
5,IOG,2,0.04060021087164847,0.035732647635489855,0.046843470637029684
5,IOG,3,0.02419907986797285,0.022340878301958855,0.026385667361077912
5,IOG,4,0.021107940682633254,0.018616248476241975,0.022687384714993562
5,IOG,5,0.016831272649258683,0.015310527289240398,0.01857614615646618
5,mFus,1,0.03479386412149407,0.031192209952473425,0.03775012702139745
5,mFus,2,0.018108992387883435,0.016456344046182573,0.020063862567151737
5,mFus,3,0.01272392893022441,0.011709965147362566,0.013459705541085403
5,mFus,4,0.008532442775876278,0.008136680677009699,0.009599465436029393
5,mFus,5,0.007212984901651263,0.006558457548549154,0.00813004814566764
5,pFus,1,0.052024693332958574,0.04496501167539324,0.05952041379906983
5,pFus,2,0.01931924075466145,0.016946472326932777,0.021338528853250344
5,pFus,3,0.011841854407806236,0.010888678597861252,0.01307190356261631
5,pFus,4,0.009187679416710169,0.008110069516746556,0.009821693383465547
5,pFus,5,0.007136387189331727,0.0065591980386953625,0.00762710068584869
6,IOG,1,0.08555726758781587,0.07397638013629358,0.09865624544225948
6,IOG,2,0.032423738053985234,0.029686198857814993,0.03646931464055926
6,IOG,3,0.0241563388162897,0.021522049564562634,0.026076217592264216
6,IOG,4,0.017592226760792577,0.015636537403368997,0.01884186221794796
6,IOG,5,0.015153246650608562,0.013361530782935198,0.01629465009535659
6,mFus,1,0.033435066793295165,0.02979129485233319,0.03689648577382803
6,mFus,2,0.01624440693603838,0.01426545337040647,0.017599191475673757
6,mFus,3,0.009941559304236848,0.008799963902527545,0.011136115482404908
6,mFus,4,0.008110069516746466,0.007430836499317709,0.008723491377105621
6,mFus,5,0.00661829080893975,0.005884594022133363,0.007332828335398289
6,pFus,1,0.03899106849114532,0.03486024726138038,0.045039856062919784
6,pFus,2,0.015338535418970976,0.014035602314897895,0.017083855429878912
6,pFus,3,0.00971125625800947,0.009122899854337788,0.011065152146883224
6,pFus,4,0.007469428529800467,0.006824352168082275,0.008405502478245402
6,pFus,5,0.005951281791975033,0.005382795784074919,0.006618290808939733
7,IOG,1,0.06812269622766984,0.057919914534546875,0.07576536950951908
7,IOG,2,0.030420034129049468,0.027001713202104417,0.03302671781703025
7,IOG,3,0.01966466626246398,0.01815468625371435,0.021733902915723195
7,IOG,4,0.01665809972514363,0.015182316490595498,0.018038070357818792
7,IOG,5,0.012092126841046012,0.010944747531132396,0.012971558692639185
7,mFus,1,0.026489834585883842,0.023902071135195355,0.029411658264449414
7,mFus,2,0.01370738028387571,0.01221886950554929,0.014680702044355915
7,mFus,3,0.008538560741328867,0.007946835405430591,0.009638870061196146
7,mFus,4,0.006956571441375877,0.0061467625875377295,0.007469428529800469
7,mFus,5,0.004976478418541117,0.004565409062288261,0.005528789826510177
7,pFus,1,0.030372889387295897,0.027713666666132633,0.03301846773035751
7,pFus,2,0.013081261112300457,0.011793397773761715,0.014779012308921818
7,pFus,3,0.00885923566290001,0.007956768300019894,0.009905409828499218
7,pFus,4,0.006325761901863555,0.005645013709146859,0.00710253831532604
7,pFus,5,0.004432791813086273,0.0036982608975558813,0.005290390088140608
8,IOG,1,0.05469595182002865,0.049282732112649136,0.06131294895561094
8,IOG,2,0.026441425720358992,0.024404915866523845,0.030030912968481
8,IOG,3,0.01717189021398338,0.016306453005893402,0.01890458401748893
8,IOG,4,0.013488191954344812,0.012182773042443442,0.01544237592505735
