,roi,ratio,value
0,IOG,1.0,0.06133940574069452
1,IOG,1.0,0.01380050911929108
2,IOG,1.0,0.041389462926577546
3,IOG,1.0,0.04536320897115811
4,IOG,1.0,0.1603713345170954
5,IOG,1.0,0.04927838711324151
6,IOG,1.0,0.04893023956039888
7,IOG,1.0,0.06389394605280338
8,IOG,1.0,0.08307412722113634
9,IOG,1.0,0.040107322974814306
10,IOG,1.0,0.16996533970521216
11,IOG,1.0,0.17484614047235986
12,IOG,1.0,0.14671322385178168
13,IOG,1.0,0.041557712798176494
14,IOG,1.0,0.03850109302241233
15,IOG,1.0,0.0806635642933658
16,IOG,1.0,0.020156353398055264
17,IOG,1.0,0.058955462231485754
18,IOG,1.0,0.2480057109840045
19,IOG,1.0,0.0844484392431059
20,IOG,1.0,0.08669652004164372
21,IOG,1.0,0.11396683510286222
22,IOG,1.0,0.04682606451761101
23,IOG,1.0,0.05865629777014256
24,IOG,1.0,0.055093773451811025
25,IOG,1.0,0.10539231994678168
26,IOG,1.0,0.023171568936397054
27,IOG,1.0,0.06980957922206144
28,IOG,1.0,0.08401257316470576
29,IOG,1.0,0.08371369038232392
30,IOG,1.0,0.06615751247530832
31,IOG,1.0,0.029349220330672124
32,IOG,1.0,0.041129561196740876
33,IOG,1.0,0.027118894485576646
34,IOG,1.0,0.07236588482171574
35,IOG,1.0,0.12330813555971007
36,IOG,1.0,0.03842516315104427
37,IOG,1.0,0.20098997412127637
38,IOG,1.0,0.09571676664504292
39,IOG,1.0,0.04749997878817349
40,IOG,1.0,0.20176770848486314
41,IOG,1.0,0.08972062337108533
42,IOG,1.0,0.02843921003680787
43,IOG,1.0,0.14831992144868567
44,IOG,1.0,0.08210551171328784
45,IOG,1.0,0.06031719818352622
46,IOG,1.0,0.006369443280790567
47,IOG,1.0,0.14014176052633898
48,IOG,1.0,0.008451161869838743
49,IOG,1.0,0.026441113473949538
50,IOG,1.0,0.039772874286706915
51,IOG,1.0,0.01858016943503775
52,IOG,1.0,0.23009252134995972
53,IOG,1.0,0.032490066881206085
54,IOG,1.0,0.02324634916714517
55,IOG,1.0,0.12195256295855177
56,IOG,1.0,0.08014054195281117
57,IOG,1.0,0.01720014120953604
58,IOG,1.0,0.09330753484167223
59,IOG,1.0,0.008353326129698625
60,IOG,1.0,0.06164001238156541
61,IOG,1.0,0.028285035787377028
62,IOG,1.0,0.007157962003327176
63,IOG,1.0,0.07933841674134251
64,IOG,1.0,0.07635354448462732
65,IOG,1.0,0.025530535585459094
66,IOG,1.0,0.12183831464772836
67,IOG,1.0,0.16977347757675482
68,IOG,1.0,0.0696921105055806
69,IOG,1.0,0.008528434795877681
70,IOG,1.0,0.02666058416088294
71,IOG,1.0,0.23835304186360423
72,IOG,1.0,0.07930900311758567
73,IOG,1.0,0.08348498514465198
74,IOG,1.0,0.10141587927499236
75,IOG,1.0,0.03791376145257317
76,IOG,1.0,0.11966122236959448
77,IOG,1.0,0.10924540937017818
78,IOG,1.0,0.3002866011751054
79,IOG,1.0,0.05857875257011476
80,IOG,1.0,0.016740114404802494
81,IOG,1.0,0.15011967807710822
82,IOG,1.0,0.07612154208761969
83,IOG,1.0,0.04677892106070066
84,IOG,1.0,0.12146288869746069
85,IOG,1.0,0.04015933850233669
86,IOG,1.0,0.05046513087771834
87,IOG,1.0,0.21236946520754504
88,IOG,1.0,0.21562239013006723
89,IOG,1.0,0.014172068551276059
90,IOG,1.0,0.03469812662972981
91,IOG,1.0,0.04955110009402866
92,IOG,1.0,0.02387526520021449
93,IOG,1.0,0.07022967056124506
94,IOG,1.0,0.014963549147226573
95,IOG,1.0,0.03295223333886514
96,IOG,1.0,0.056387778737563024
97,IOG,1.0,0.059545838357516964
98,IOG,1.0,0.09175353159409005
99,IOG,1.0,0.5423997409872909
100,IOG,1.5,0.16309937456579493
101,IOG,1.5,0.00827496470388994
102,IOG,1.5,0.07669716434746632
103,IOG,1.5,0.07730871437312012
104,IOG,1.5,0.12575235039892332
105,IOG,1.5,0.03585302446846253
106,IOG,1.5,0.07941327424761205
107,IOG,1.5,0.2429817137897627
108,IOG,1.5,0.05035777836029151
109,IOG,1.5,0.21185753029051313
110,IOG,1.5,0.0208499508758602
111,IOG,1.5,0.15233398517651162
112,IOG,1.5,0.12922289983388024
113,IOG,1.5,0.03443854084885986
114,IOG,1.5,0.03447983100880505
115,IOG,1.5,0.05778594073515185
